"aid","guid","guid_name","chechin No","view","click","share"
"鲸鱼漏","444068325","58","2012-10-01 00:03:14","外滩22号","12","0","上海","、","NO","N/A","N/A","N/A","N/A"
"鲸鱼漏","444068325","58","2012-10-01 10:27:34","外滩22号","12","0","上海","","NO","N/A","N/A","N/A","N/A"
"鲸鱼漏","444068325","58","2012-10-02 11:53:45","多伦现代美术馆","12","0","上海","","NO","N/A","N/A","N/A","N/A"
"鲸鱼漏","444068325","58","2012-10-02 11:59:10","上海动物园","12","0","上海","","NO","N/A","N/A","N/A","N/A"
"鲸鱼漏","444068325","58","2012-10-02 11:59:46","世纪公园(Century Park)","12","0","上海","","NO","N/A","N/A","N/A","N/A"
"鲸鱼漏","444068325","58","2012-10-02 12:00:11","多伦路文化名人街","12","0","上海","","NO","N/A","N/A","N/A","N/A"
"鲸鱼漏","444068325","58","2012-10-02 12:00:59","上海野生动物园","12","0","上海","","NO","N/A","N/A","N/A","N/A"
"鲸鱼漏","444068325","58","2012-10-02 12:01:09","共青国家森林公园(Gongqing National Forest Park)","12","0","上海","","NO","N/A","N/A","N/A","N/A"
"鲸鱼漏","444068325","58","2012-10-02 12:04:18","丸龟制面(日月光店)","12","0","上海","","NO","N/A","N/A","N/A","N/A"
"鲸鱼漏","444068325","58","2012-10-02 12:05:29","查餐厅(思南路店)","12","0","上海","","NO","N/A","N/A","N/A","N/A"
"鲸鱼漏","444068325","58","2012-10-02 12:05:48","夏朵西餐厅","12","0","上海","","NO","N/A","N/A","N/A","N/A"
"鲸鱼漏","444068325","58","2012-10-02 12:06:57","阿姨奶茶专卖","12","0","上海","","NO","N/A","N/A","N/A","N/A"
"ringamei","578428085","58","2012-10-01 10:37:03","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"梅儿128502","456513852","58","2012-10-01 10:43:19","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"xiemeng0459","898646149","58","2012-10-01 10:53:46","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"小夕尔","218436689","58","2012-10-01 11:02:14","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"圆瓜瓜007","544948025","58","2012-10-01 11:09:19","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"xthg","225688941","58","2012-10-01 11:11:28","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"emma614","427440987","58","2012-10-01 11:13:43","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"13918308712","892575543","58","2012-10-01 11:20:19","外滩22号","1","0","上海","FINE","NO","N/A","N/A","N/A","N/A"
"葛仔都是傻卵","883109693","58","2012-10-01 11:23:30","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"jennynet","170831491","58","2012-10-01 11:29:50","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"思念很难晓","950375576","63","2012-10-01 11:35:56","中山东二路22号","2","0","上海","","NO","N/A","N/A","N/A","N/A"
"思念很难晓","950375576","63","2012-10-01 11:39:44","外滩22号","2","0","上海","啦啦","NO","N/A","N/A","N/A","N/A"
"murong1121","652836700","58","2012-10-01 11:40:57","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"mubei119","448731522","58","2012-10-01 11:41:38","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"ichigoice","647376601","58","2012-10-01 11:47:07","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"梦游的耗子","305489610","58","2012-10-01 11:54:59","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"vivi841211","745613406","58","2012-10-01 12:17:32","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"007ya","493354930","58","2012-10-01 12:21:07","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"Amber55","998387582","58","2012-10-01 12:22:32","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"jhyaliwei","872337358","58","2012-10-01 12:50:01","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"sherlyme","341998697","58","2012-10-01 12:57:42","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"夏东东","592342015","58","2012-10-01 12:58:08","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"weiyi1128","277430892","58","2012-10-01 13:02:17","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"agathacindy","772775779","58","2012-10-01 13:13:21","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"melissamicky","816381446","58","2012-10-01 13:29:02","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"queeniyao","570414638","58","2012-10-01 13:47:56","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
"qiulongyu","423478590","66","2012-10-01 13:50:56","外滩22号","1","0","上海","","NO","N/A","N/A","N/A","N/A"
