赛百味(烈士陵园店),C82284ABDD4FB1C07ADFD5D70C640167,天尼斯酒房,0.00,0.00,3,2
赛百味(烈士陵园店),95ED68D6A9460EA7,广州起义烈士陵园,7.00,4.00,444,359
赛百味(烈士陵园店),94C324233A9A21D2,闪电(中华广场店),0.00,0.00,0,0
赛百味(烈士陵园店),03BEFCC9B2766476,Nike(中华广场店),0.00,0.00,6,5
赛百味(烈士陵园店),E2A0BD2B5207E8DF,潮流天地,0.00,0.00,1,1
赛百味(烈士陵园店),569DFD76E6933B02,豪柏钻石(中华广场店),0.00,0.00,0,0
赛百味(烈士陵园店),FC8BFDB367D1AC8D,苏豪(中华广场店),0.00,0.00,11,8
赛百味(烈士陵园店),E5B1BD034726B65C,索尼爱立信维修中心(中华店),0.00,0.00,4,3
赛百味(烈士陵园店),DD9ACADB31D96A33,必瘦站(中华广场店),0.00,0.00,1,1
赛百味(烈士陵园店),A3092DD5AD221C3B,诺基亚专卖店客户服务部(中华广场店),0.00,0.00,5,4
赛百味(烈士陵园店),0B5CD7298B6446AD,大椰丰饭(中山三路店),0.00,0.00,193,151
赛百味(烈士陵园店),FBB6B5397D935A40,Mango(中华广场店),0.00,0.00,13,13
赛百味(烈士陵园店),EC8B0B6AC22571EC,水果捞(中华广场店),0.67,0.67,106,91
赛百味(烈士陵园店),73CCEEAF91C90886,时尚芭莎(中华广场店),0.00,0.00,0,0
赛百味(烈士陵园店),EFD1EDA120FB7D71,曲美家具(中华广场店),0.00,0.00,0,0
赛百味(烈士陵园店),6C589C6A1ED72773,芝柏婚纱影楼(中华广场店),0.00,0.00,0,0
赛百味(烈士陵园店),E3A731FDBF4C6B39,麦香饼家(东昌大街店),0.00,0.00,0,0
赛百味(烈士陵园店),17E87C2F39D88D63,Idylla时尚水晶饰品,0.00,0.00,0,0
赛百味(烈士陵园店),D3876AEF5DCB7F,较场西路,0.00,0.00,1,1
赛百味(烈士陵园店),0EDBB9CF14DBC5,寿司王(中华广场店),0.00,0.00,3,3
赛百味(烈士陵园店),5901A02E70749A,寿司星,0.00,0.00,2,1
赛百味(烈士陵园店),8922BEC04C9198D3E8073A8709240920,阿里巴巴广州总部,0.00,0.00,13,4
赛百味(烈士陵园店),01E8B209377C6B2E,香港QQ蛋仔(中华广场店),0.00,0.00,1,1
赛百味(烈士陵园店),ADC808635BD52A3F,麦香饼家(中山三路店),0.00,0.00,8,4
赛百味(烈士陵园店),78B4EDF0642285,SonyXperia手机店,0.00,0.00,1,1
赛百味(烈士陵园店),5653718818BACB,大和寿司,0.00,0.00,7,5
赛百味(烈士陵园店),78BA2F65AD82F5FB290347B26AB965FF,Converse(流行前线鞋店),0.00,0.00,1,1
赛百味(烈士陵园店),9D43FEAB50960BA7F2E850DDE79D4A39,6ixty 8ight (流前店),0.00,0.00,4,2
赛百味(烈士陵园店),EBA6E394C36BE8B0,原纪香卤味世家,0.00,0.00,0,0
赛百味(烈士陵园店),2CE058AC4F931F06,蒙布朗蛋糕(中山三路店),0.00,0.00,1,1
